ID,Latitude,Longitude,Year,ET_mm_total_year
122-R,24.085389,-110.366992,2021,167.5
122-R,24.085389,-110.366992,2022,155.3
122-R,24.085389,-110.366992,2023,167.9
122-R,24.085389,-110.366992,2024,127.1
122-R,24.085389,-110.366992,2025,70.2
128,24.089719,-110.312672,2021,134.3
128,24.089719,-110.312672,2022,134.6
128,24.089719,-110.312672,2023,138.3
128,24.089719,-110.312672,2024,103.9
128,24.089719,-110.312672,2025,65.0
129-B,24.098483,-110.316931,2021,149.8
129-B,24.098483,-110.316931,2022,150.0
129-B,24.098483,-110.316931,2023,158.7
129-B,24.098483,-110.316931,2024,116.0
129-B,24.098483,-110.316931,2025,69.6
134,24.104028,-110.323978,2021,138.6
134,24.104028,-110.323978,2022,144.7
134,24.104028,-110.323978,2023,142.5
134,24.104028,-110.323978,2024,107.1
134,24.104028,-110.323978,2025,67.2
135-R,24.108056,-110.325556,2021,153.9
135-R,24.108056,-110.325556,2022,149.1
135-R,24.108056,-110.325556,2023,151.9
135-R,24.108056,-110.325556,2024,112.7
135-R,24.108056,-110.325556,2025,67.4
137,24.09143,-110.31356,2021,134.3
137,24.09143,-110.31356,2022,134.6
137,24.09143,-110.31356,2023,138.3
137,24.09143,-110.31356,2024,103.9
137,24.09143,-110.31356,2025,65.0
138,24.089228,-110.324194,2021,133.6
138,24.089228,-110.324194,2022,132.7
138,24.089228,-110.324194,2023,134.3
138,24.089228,-110.324194,2024,102.4
138,24.089228,-110.324194,2025,64.5
140,24.088483,-110.331106,2021,134.3
140,24.088483,-110.331106,2022,133.5
140,24.088483,-110.331106,2023,136.6
140,24.088483,-110.331106,2024,108.9
140,24.088483,-110.331106,2025,68.1
141,24.085097,-110.332044,2021,148.6
141,24.085097,-110.332044,2022,137.4
141,24.085097,-110.332044,2023,147.0
141,24.085097,-110.332044,2024,108.4
141,24.085097,-110.332044,2025,66.8
142,24.084519,-110.325344,2021,140.4
142,24.084519,-110.325344,2022,135.9
142,24.084519,-110.325344,2023,136.7
142,24.084519,-110.325344,2024,104.5
142,24.084519,-110.325344,2025,65.1
143,24.030556,-110.356111,2021,191.0
143,24.030556,-110.356111,2022,167.5
143,24.030556,-110.356111,2023,177.4
143,24.030556,-110.356111,2024,133.4
143,24.030556,-110.356111,2025,74.9
145-R,24.080753,-110.333206,2021,172.5
145-R,24.080753,-110.333206,2022,168.5
145-R,24.080753,-110.333206,2023,189.5
145-R,24.080753,-110.333206,2024,132.4
145-R,24.080753,-110.333206,2025,71.6
146,24.081944,-110.343889,2021,199.6
146,24.081944,-110.343889,2022,205.8
146,24.081944,-110.343889,2023,223.5
146,24.081944,-110.343889,2024,156.9
146,24.081944,-110.343889,2025,74.6
151,24.055,-110.333056,2021,159.7
151,24.055,-110.333056,2022,147.7
151,24.055,-110.333056,2023,171.5
151,24.055,-110.333056,2024,118.1
151,24.055,-110.333056,2025,66.9
152,24.057222,-110.343333,2021,187.5
152,24.057222,-110.343333,2022,173.3
152,24.057222,-110.343333,2023,209.6
152,24.057222,-110.343333,2024,169.9
152,24.057222,-110.343333,2025,76.0
153,24.058889,-110.3475,2021,231.7
153,24.058889,-110.3475,2022,213.5
153,24.058889,-110.3475,2023,249.0
153,24.058889,-110.3475,2024,256.1
153,24.058889,-110.3475,2025,75.4
164,24.061136,-110.320028,2021,148.5
164,24.061136,-110.320028,2022,143.6
164,24.061136,-110.320028,2023,152.1
164,24.061136,-110.320028,2024,106.9
164,24.061136,-110.320028,2025,65.7
166,24.0477,-110.32655,2021,184.3
166,24.0477,-110.32655,2022,173.2
166,24.0477,-110.32655,2023,198.5
166,24.0477,-110.32655,2024,140.1
166,24.0477,-110.32655,2025,70.6
167-R,24.0489,-110.334369,2021,184.5
167-R,24.0489,-110.334369,2022,169.4
167-R,24.0489,-110.334369,2023,178.3
167-R,24.0489,-110.334369,2024,131.1
167-R,24.0489,-110.334369,2025,70.1
171-A,24.088333,-110.350833,2021,195.6
171-A,24.088333,-110.350833,2022,166.1
171-A,24.088333,-110.350833,2023,208.3
171-A,24.088333,-110.350833,2024,164.4
171-A,24.088333,-110.350833,2025,78.8
172,24.078611,-110.354444,2021,231.2
172,24.078611,-110.354444,2022,211.4
172,24.078611,-110.354444,2023,248.1
172,24.078611,-110.354444,2024,234.9
172,24.078611,-110.354444,2025,95.0
181-R,24.073611,-110.348889,2021,238.0
181-R,24.073611,-110.348889,2022,211.5
181-R,24.073611,-110.348889,2023,243.5
181-R,24.073611,-110.348889,2024,229.6
181-R,24.073611,-110.348889,2025,81.0
182,24.093611,-110.350556,2021,179.4
182,24.093611,-110.350556,2022,153.9
182,24.093611,-110.350556,2023,181.5
182,24.093611,-110.350556,2024,131.0
182,24.093611,-110.350556,2025,70.6
191-R,24.096389,-110.3525,2021,217.6
191-R,24.096389,-110.3525,2022,198.2
191-R,24.096389,-110.3525,2023,216.29999999999998
191-R,24.096389,-110.3525,2024,189.4
191-R,24.096389,-110.3525,2025,93.4
197-A,24.098611,-110.352778,2021,217.6
197-A,24.098611,-110.352778,2022,198.2
197-A,24.098611,-110.352778,2023,216.29999999999998
197-A,24.098611,-110.352778,2024,189.4
197-A,24.098611,-110.352778,2025,93.4
205,24.053611,-110.359167,2021,282.2
205,24.053611,-110.359167,2022,269.5
205,24.053611,-110.359167,2023,300.9
205,24.053611,-110.359167,2024,220.8
205,24.053611,-110.359167,2025,105.60000000000001
206,24.034444,-110.356667,2021,181.0
206,24.034444,-110.356667,2022,169.4
206,24.034444,-110.356667,2023,188.7
206,24.034444,-110.356667,2024,138.5
206,24.034444,-110.356667,2025,80.6
207-R,24.043889,-110.368889,2021,277.9
207-R,24.043889,-110.368889,2022,221.4
207-R,24.043889,-110.368889,2023,248.1
207-R,24.043889,-110.368889,2024,210.5
207-R,24.043889,-110.368889,2025,92.2
208,24.036389,-110.364167,2021,194.4
208,24.036389,-110.364167,2022,185.6
208,24.036389,-110.364167,2023,184.9
208,24.036389,-110.364167,2024,152.4
208,24.036389,-110.364167,2025,81.9
209,24.027222,-110.368611,2021,222.4
209,24.027222,-110.368611,2022,200.9
209,24.027222,-110.368611,2023,238.0
209,24.027222,-110.368611,2024,184.0
209,24.027222,-110.368611,2025,88.7
211,24.068333,-110.370278,2021,180.1
211,24.068333,-110.370278,2022,176.7
211,24.068333,-110.370278,2023,201.1
211,24.068333,-110.370278,2024,157.8
211,24.068333,-110.370278,2025,76.9
216,24.0575,-110.398611,2021,186.3
216,24.0575,-110.398611,2022,162.6
216,24.0575,-110.398611,2023,193.6
216,24.0575,-110.398611,2024,147.5
