Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
SAPA No.4 R,Baja California Sur,LA PAZ,76.0,23.994167,-110.332778,2010,79.46,0.31,23.15
Sapa No.21,Baja California Sur,LA PAZ,82.0,24.021667,-110.3175,2010,104.71,0.31,23.15
SAPA La Paz (San Pedro),Baja California Sur,LA PAZ,190.0,23.929722,-110.263889,2010,53.75,0.31,24.23
S/N_3,Baja California Sur,LA PAZ,51.0,24.024167,-110.389444,2010,54.17,0.31,23.15
Patricio Suarez A.,Baja California Sur,LA PAZ,215.0,23.93494,-110.24303,2010,17.26,0.31,24.23
Gilberto Chávez A.,Baja California Sur,LA PAZ,194.0,23.934222,-110.261194,2010,21.26,0.31,24.23
EL PALMAR,Baja California Sur,LA PAZ,194.0,23.932528,-110.259556,2010,22.51,0.31,24.23
BUEN SUR,Baja California Sur,LA PAZ,198.0,23.929278,-110.255333,2010,19.05,0.31,24.23
BOLA DE FUEGO,Baja California Sur,LA PAZ,29.0,24.056667,-110.392222,2010,31.96,0.31,23.15
419,Baja California Sur,LA PAZ,13.0,24.112417,-110.328147,2010,13.98,0.31,23.15
416,Baja California Sur,LA PAZ,45.0,24.1225,-110.299167,2010,41.4,0.31,24.23
409,Baja California Sur,LA PAZ,66.0,24.018611,-110.400278,2010,70.52,0.31,23.15
408,Baja California Sur,LA PAZ,11.0,24.077778,-110.398889,2010,13.74,0.31,23.15
407,Baja California Sur,LA PAZ,18.0,24.075,-110.398611,2010,17.34,0.31,23.15
406,Baja California Sur,LA PAZ,14.0,24.089444,-110.408889,2010,14.95,0.31,23.15
405,Baja California Sur,LA PAZ,38.0,24.063056,-110.411111,2010,41.0,0.31,23.15
403,Baja California Sur,LA PAZ,33.0,24.038333,-110.37,2010,38.13,0.31,23.15
391,Baja California Sur,LA PAZ,30.0,24.053056,-110.383611,2010,33.21,0.31,23.15
385,Baja California Sur,LA PAZ,17.0,24.085556,-110.408056,2010,17.26,0.31,23.15
384,Baja California Sur,LA PAZ,34.0,24.0825,-110.419167,2010,36.29,0.31,23.15
381-R,Baja California Sur,LA PAZ,39.0,24.069444,-110.413889,2010,40.45,0.31,23.15
380-R,Baja California Sur,LA PAZ,38.0,24.040833,-110.383889,2010,41.47,0.31,23.15
379,Baja California Sur,LA PAZ,13.0,24.099167,-110.416944,2010,13.92,0.31,23.15
378-R,Baja California Sur,LA PAZ,25.0,24.053611,-110.372778,2010,29.42,0.31,23.15
368,Baja California Sur,LA PAZ,11.0,24.102222,-110.418333,2010,12.25,0.31,23.15
326,Baja California Sur,LA PAZ,20.0,24.082222,-110.407778,2010,21.09,0.31,23.15
253,Baja California Sur,LA PAZ,5.0,24.092222,-110.398611,2010,6.33,0.31,23.15
252,Baja California Sur,LA PAZ,10.0,24.089167,-110.380556,2010,10.54,0.31,23.15
248-R,Baja California Sur,LA PAZ,30.0,24.044722,-110.3575,2010,38.35,0.31,23.15
243,Baja California Sur,LA PAZ,13.0,24.087222,-110.370556,2010,13.82,0.31,23.15
242-R,Baja California Sur,LA PAZ,13.0,24.085278,-110.373889,2010,13.82,0.31,23.15
228-A,Baja California Sur,LA PAZ,7.0,24.090833,-110.400278,2010,7.49,0.31,23.15
217-R,Baja California Sur,LA PAZ,19.0,24.070278,-110.3975,2010,21.06,0.31,23.15
211,Baja California Sur,LA PAZ,22.0,24.068333,-110.370278,2010,22.84,0.31,23.15
209,Baja California Sur,LA PAZ,38.0,24.027222,-110.368611,2010,44.64,0.31,23.15
208,Baja California Sur,LA PAZ,32.0,24.036389,-110.364167,2010,39.15,0.31,23.15
206,Baja California Sur,LA PAZ,33.0,24.034444,-110.356667,2010,40.49,0.31,23.15
205,Baja California Sur,LA PAZ,25.0,24.053611,-110.359167,2010,33.4,0.31,23.15
197-A,Baja California Sur,LA PAZ,9.0,24.098611,-110.352778,2010,10.56,0.31,23.15
191-R,Baja California Sur,LA PAZ,10.0,24.096389,-110.3525,2010,11.61,0.31,23.15
182,Baja California Sur,LA PAZ,12.0,24.093611,-110.350556,2010,13.83,0.31,23.15
181-R,Baja California Sur,LA PAZ,17.0,24.073611,-110.348889,2010,21.35,0.31,23.15
172,Baja California Sur,LA PAZ,14.0,24.078611,-110.354444,2010,17.5,0.31,23.15
171-A,Baja California Sur,LA PAZ,13.0,24.088333,-110.350833,2010,15.9,0.31,23.15
167-R,Baja California Sur,LA PAZ,42.0,24.0489,-110.334369,2010,48.45,0.31,23.15
166,Baja California Sur,LA PAZ,50.0,24.0477,-110.32655,2010,60.36,0.31,23.15
164,Baja California Sur,LA PAZ,51.0,24.061136,-110.320028,2010,60.53,0.31,23.15
153,Baja California Sur,LA PAZ,21.09,24.058889,-110.3475,2010,29.04,0.31,23.15
152,Baja California Sur,LA PAZ,25.0,24.057222,-110.343333,2010,31.42,0.31,23.15
151,Baja California Sur,LA PAZ,38.0,24.055,-110.333056,2010,44.2,0.31,23.15
146,Baja California Sur,LA PAZ,16.0,24.081944,-110.343889,2010,20.08,0.31,23.15
143,Baja California Sur,LA PAZ,36.27,24.030556,-110.356111,2010,43.2,0.31,23.15
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2010,28.32,0.31,23.15
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2010,28.5,0.31,23.15
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2010,31.88,0.31,23.15
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2010,34.67,0.31,23.15
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2010,16.52,0.31,23.15
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2010,20.35,0.31,23.15
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2010,29.35,0.31,23.15
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2010,40.55,0.31,23.15
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2010,15.87,0.31,23.15
S/N_4,Baja California Sur,LA PAZ,42.0,24.025833,-110.3825,2011,47.17,0.25,23.87
S/N_3,Baja California Sur,LA PAZ,51.0,24.024167,-110.389444,2011,54.58,0.25,23.87
S/N_2,Baja California Sur,LA PAZ,38.0,24.028611,-110.373333,2011,42.92,0.25,23.87
S/N_1,Baja California Sur,LA PAZ,8.0,24.091944,-110.402222,2011,8.7,0.25,23.87
EL PALMAR,Baja California Sur,LA PAZ,194.0,23.932528,-110.259556,2011,23.67,0.28,24.62
BUEN SUR,Baja California Sur,LA PAZ,198.0,23.929278,-110.255333,2011,20.04,0.28,24.62
BOLA DE FUEGO,Baja California Sur,LA PAZ,29.0,24.056667,-110.392222,2011,32.2,0.25,23.87
419,Baja California Sur,LA PAZ,13.0,24.112417,-110.328147,2011,13.94,0.25,23.87
416,Baja California Sur,LA PAZ,45.0,24.1225,-110.299167,2011,42.6,0.28,24.62
415,Baja California Sur,LA PAZ,40.0,24.108333,-110.291667,2011,41.97,0.28,24.62
409,Baja California Sur,LA PAZ,66.0,24.018611,-110.400278,2011,71.25,0.25,23.87
408,Baja California Sur,LA PAZ,11.0,24.077778,-110.398889,2011,14.04,0.25,23.87
407,Baja California Sur,LA PAZ,18.0,24.075,-110.398611,2011,17.92,0.25,23.87
406,Baja California Sur,LA PAZ,14.0,24.089444,-110.408889,2011,15.42,0.25,23.87
405,Baja California Sur,LA PAZ,38.0,24.063056,-110.411111,2011,40.69,0.25,23.87
403,Baja California Sur,LA PAZ,33.0,24.038333,-110.37,2011,38.7,0.25,23.87
385,Baja California Sur,LA PAZ,17.0,24.085556,-110.408056,2011,17.58,0.25,23.87
384,Baja California Sur,LA PAZ,34.0,24.0825,-110.419167,2011,36.6,0.25,23.87
381-R,Baja California Sur,LA PAZ,39.0,24.069444,-110.413889,2011,40.52,0.25,23.87
380-R,Baja California Sur,LA PAZ,38.0,24.040833,-110.383889,2011,42.45,0.25,23.87
379,Baja California Sur,LA PAZ,13.0,24.099167,-110.416944,2011,14.18,0.25,23.87
378-R,Baja California Sur,LA PAZ,25.0,24.053611,-110.372778,2011,30.58,0.25,23.87
368,Baja California Sur,LA PAZ,11.0,24.102222,-110.418333,2011,12.53,0.25,23.87
326,Baja California Sur,LA PAZ,20.0,24.082222,-110.407778,2011,21.57,0.25,23.87
253,Baja California Sur,LA PAZ,5.0,24.092222,-110.398611,2011,7.6,0.25,23.87
252,Baja California Sur,LA PAZ,10.0,24.089167,-110.380556,2011,10.27,0.25,23.87
243,Baja California Sur,LA PAZ,13.0,24.087222,-110.370556,2011,14.2,0.25,23.87
242-R,Baja California Sur,LA PAZ,13.0,24.085278,-110.373889,2011,14.49,0.25,23.87
228-A,Baja California Sur,LA PAZ,7.0,24.090833,-110.400278,2011,8.02,0.25,23.87
221,Baja California Sur,LA PAZ,15.0,24.076028,-110.377472,2011,17.38,0.25,23.87
217-R,Baja California Sur,LA PAZ,19.0,24.070278,-110.3975,2011,21.88,0.25,23.87
216,Baja California Sur,LA PAZ,32.0,24.0575,-110.398611,2011,35.0,0.25,23.87
209,Baja California Sur,LA PAZ,38.0,24.027222,-110.368611,2011,44.4,0.25,23.87
208,Baja California Sur,LA PAZ,32.0,24.036389,-110.364167,2011,38.8,0.25,23.87
206,Baja California Sur,LA PAZ,33.0,24.034444,-110.356667,2011,41.16,0.25,23.87
205,Baja California Sur,LA PAZ,25.0,24.053611,-110.359167,2011,31.02,0.25,23.87
197-A,Baja California Sur,LA PAZ,9.0,24.098611,-110.352778,2011,11.32,0.25,23.87
191-R,Baja California Sur,LA PAZ,10.0,24.096389,-110.3525,2011,11.5,0.25,23.87
182,Baja California Sur,LA PAZ,12.0,24.093611,-110.350556,2011,13.84,0.25,23.87
181-R,Baja California Sur,LA PAZ,17.0,24.073611,-110.348889,2011,21.41,0.25,23.87
172,Baja California Sur,LA PAZ,14.0,24.078611,-110.354444,2011,17.7,0.25,23.87
171-A,Baja California Sur,LA PAZ,13.0,24.088333,-110.350833,2011,15.96,0.25,23.87
167-R,Baja California Sur,LA PAZ,42.0,24.0489,-110.334369,2011,49.1,0.25,23.87
166,Baja California Sur,LA PAZ,50.0,24.0477,-110.32655,2011,62.84,0.25,23.87
164,Baja California Sur,LA PAZ,51.0,24.061136,-110.320028,2011,62.62,0.25,23.87
153,Baja California Sur,LA PAZ,21.09,24.058889,-110.3475,2011,29.43,0.25,23.87
151,Baja California Sur,LA PAZ,38.0,24.055,-110.333056,2011,46.42,0.25,23.87
146,Baja California Sur,LA PAZ,16.0,24.081944,-110.343889,2011,20.8,0.25,23.87
143,Baja California Sur,LA PAZ,36.27,24.030556,-110.356111,2011,43.16,0.25,23.87
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2011,30.6,0.25,23.87
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2011,28.91,0.25,23.87
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2011,35.09,0.25,23.87
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2011,16.85,0.25,23.87
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2011,20.7,0.25,23.87
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2011,29.82,0.25,23.87
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2011,40.85,0.25,23.87
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2011,15.78,0.25,23.87
S/N_4,Baja California Sur,LA PAZ,42.0,24.025833,-110.3825,2012,47.43,0.95,23.82
S/N_3,Baja California Sur,LA PAZ,51.0,24.024167,-110.389444,2012,54.68,0.95,23.82
S/N_2,Baja California Sur,LA PAZ,38.0,24.028611,-110.373333,2012,43.45,0.95,23.82
S/N_1,Baja California Sur,LA PAZ,8.0,24.091944,-110.402222,2012,8.1,0.95,23.82
EL PALMAR,Baja California Sur,LA PAZ,194.0,23.932528,-110.259556,2012,24.57,0.88,24.64
BUEN SUR,Baja California Sur,LA PAZ,198.0,23.929278,-110.255333,2012,20.18,0.88,24.64
BOLA DE FUEGO,Baja California Sur,LA PAZ,29.0,24.056667,-110.392222,2012,32.22,0.95,23.82
419,Baja California Sur,LA PAZ,13.0,24.112417,-110.328147,2012,12.2,0.95,23.82
416,Baja California Sur,LA PAZ,45.0,24.1225,-110.299167,2012,43.45,0.88,24.64
409,Baja California Sur,LA PAZ,66.0,24.018611,-110.400278,2012,71.71,0.95,23.82
408,Baja California Sur,LA PAZ,11.0,24.077778,-110.398889,2012,14.07,0.95,23.82
406,Baja California Sur,LA PAZ,14.0,24.089444,-110.408889,2012,15.04,0.95,23.82
405,Baja California Sur,LA PAZ,38.0,24.063056,-110.411111,2012,40.9,0.95,23.82
403,Baja California Sur,LA PAZ,33.0,24.038333,-110.37,2012,38.3,0.95,23.82
391,Baja California Sur,LA PAZ,30.0,24.053056,-110.383611,2012,31.4,0.95,23.82
