Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
M53,Baja California Sur,MULEGÉ,11.73,26.872842,-112.004714,2011,9.5,0.12,23.84
M41,Baja California Sur,MULEGÉ,10.2,26.884011,-112.004681,2011,6.38,0.12,23.84
M40,Baja California Sur,MULEGÉ,10.2,26.881111,-112.000772,2011,7.02,0.12,23.84
M38,Baja California Sur,MULEGÉ,9.43,26.880972,-111.997544,2011,6.32,0.12,23.84
M36,Baja California Sur,MULEGÉ,8.15,26.883069,-111.996125,2011,5.26,0.12,23.84
M34,Baja California Sur,MULEGÉ,14.34,26.882506,-112.019342,2011,10.38,0.12,23.84
M33,Baja California Sur,MULEGÉ,13.57,26.882172,-112.018047,2011,9.4,0.12,23.84
M30,Baja California Sur,MULEGÉ,13.32,26.884861,-112.017889,2011,10.17,0.12,23.84
M29,Baja California Sur,MULEGÉ,11.19,26.882417,-112.011717,2011,7.46,0.12,23.84
M28,Baja California Sur,MULEGÉ,11.05,26.885711,-112.011081,2011,10.98,0.12,23.84
M25,Baja California Sur,MULEGÉ,7.93,26.887783,-111.999022,2011,4.7,0.12,23.84
M23,Baja California Sur,MULEGÉ,2.9,26.895856,-111.960006,2011,2.67,0.12,23.84
M22,Baja California Sur,MULEGÉ,11.55,26.880192,-112.003406,2011,7.91,0.12,23.84
M21,Baja California Sur,MULEGÉ,10.98,26.878983,-112.003181,2011,7.49,0.12,23.84
M19,Baja California Sur,MULEGÉ,12.33,26.877719,-112.008428,2011,8.74,0.12,23.84
M18,Baja California Sur,MULEGÉ,13.38,26.878094,-112.014014,2011,9.59,0.12,23.84
M17,Baja California Sur,MULEGÉ,12.1,26.874858,-112.010222,2011,8.55,0.12,23.84
M16,Baja California Sur,MULEGÉ,14.77,26.8752,-112.020078,2011,11.67,0.12,23.84
M15,Baja California Sur,MULEGÉ,14.27,26.869947,-112.017556,2011,12.05,0.12,23.84
M12,Baja California Sur,MULEGÉ,17.77,26.870861,-112.029922,2011,13.64,0.12,23.84
M11,Baja California Sur,MULEGÉ,20.69,26.867908,-112.035803,2011,16.11,0.12,23.84
M09,Baja California Sur,MULEGÉ,23.25,26.862294,-112.040097,2011,18.75,0.12,23.84
M01,Baja California Sur,MULEGÉ,22.98,26.902014,-112.047656,2011,18.31,0.12,23.84
M53,Baja California Sur,MULEGÉ,11.73,26.872842,-112.004714,2012,8.85,0.52,24.32
M5-M35,Baja California Sur,MULEGÉ,16.34,26.880128,-112.027167,2012,12.43,0.52,24.32
M42,Baja California Sur,MULEGÉ,40.0,26.846097,-112.046803,2012,34.62,0.52,24.32
M41,Baja California Sur,MULEGÉ,10.2,26.884011,-112.004681,2012,6.72,0.52,24.32
M40,Baja California Sur,MULEGÉ,10.2,26.881111,-112.000772,2012,6.93,0.52,24.32
M38,Baja California Sur,MULEGÉ,9.43,26.880972,-111.997544,2012,6.52,0.52,24.32
M36,Baja California Sur,MULEGÉ,8.15,26.883069,-111.996125,2012,5.26,0.52,24.32
M34,Baja California Sur,MULEGÉ,14.34,26.882506,-112.019342,2012,10.28,0.52,24.32
M33,Baja California Sur,MULEGÉ,13.57,26.882172,-112.018047,2012,9.5,0.52,24.32
M30,Baja California Sur,MULEGÉ,13.32,26.884861,-112.017889,2012,9.37,0.52,24.32
M29,Baja California Sur,MULEGÉ,11.19,26.882417,-112.011717,2012,6.38,0.52,24.32
M28,Baja California Sur,MULEGÉ,11.05,26.885711,-112.011081,2012,7.38,0.52,24.32
M25,Baja California Sur,MULEGÉ,7.93,26.887783,-111.999022,2012,4.77,0.52,24.32
M23,Baja California Sur,MULEGÉ,2.9,26.895856,-111.960006,2012,2.9,0.52,24.32
M21,Baja California Sur,MULEGÉ,10.98,26.878983,-112.003181,2012,8.51,0.52,24.32
M18,Baja California Sur,MULEGÉ,13.38,26.878094,-112.014014,2012,9.95,0.52,24.32
M17,Baja California Sur,MULEGÉ,12.1,26.874858,-112.010222,2012,8.45,0.52,24.32
M16,Baja California Sur,MULEGÉ,14.77,26.8752,-112.020078,2012,10.81,0.52,24.32
M15,Baja California Sur,MULEGÉ,14.27,26.869947,-112.017556,2012,10.33,0.52,24.32
M14,Baja California Sur,MULEGÉ,14.48,26.871014,-112.018847,2012,10.77,0.52,24.32
M13,Baja California Sur,MULEGÉ,16.24,26.869197,-112.024425,2012,12.06,0.52,24.32
M12,Baja California Sur,MULEGÉ,17.77,26.870861,-112.029922,2012,13.62,0.52,24.32
M11,Baja California Sur,MULEGÉ,20.69,26.867908,-112.035803,2012,16.22,0.52,24.32
M09,Baja California Sur,MULEGÉ,23.25,26.862294,-112.040097,2012,18.67,0.52,24.32
M08,Baja California Sur,MULEGÉ,34.0,26.856583,-112.05325,2012,26.46,0.52,24.32
M01,Baja California Sur,MULEGÉ,22.98,26.902014,-112.047656,2012,18.5,0.52,24.32
M53,Baja California Sur,MULEGÉ,11.73,26.872842,-112.004714,2013,5.79,0.57,24.13
M5-M35,Baja California Sur,MULEGÉ,16.34,26.880128,-112.027167,2013,12.09,0.57,24.13
M42,Baja California Sur,MULEGÉ,40.0,26.846097,-112.046803,2013,34.1,0.57,24.13
M41,Baja California Sur,MULEGÉ,10.2,26.884011,-112.004681,2013,6.78,0.57,24.13
M40,Baja California Sur,MULEGÉ,10.2,26.881111,-112.000772,2013,6.66,0.57,24.13
M38,Baja California Sur,MULEGÉ,9.43,26.880972,-111.997544,2013,6.41,0.57,24.13
M36,Baja California Sur,MULEGÉ,8.15,26.883069,-111.996125,2013,5.21,0.57,24.13
M34,Baja California Sur,MULEGÉ,14.34,26.882506,-112.019342,2013,10.05,0.57,24.13
M33,Baja California Sur,MULEGÉ,13.57,26.882172,-112.018047,2013,9.32,0.57,24.13
M30,Baja California Sur,MULEGÉ,13.32,26.884861,-112.017889,2013,9.01,0.57,24.13
M29,Baja California Sur,MULEGÉ,11.19,26.882417,-112.011717,2013,7.11,0.57,24.13
M28,Baja California Sur,MULEGÉ,11.05,26.885711,-112.011081,2013,7.2,0.57,24.13
M25,Baja California Sur,MULEGÉ,7.93,26.887783,-111.999022,2013,4.79,0.57,24.13
M23,Baja California Sur,MULEGÉ,2.9,26.895856,-111.960006,2013,2.95,0.57,24.13
M22,Baja California Sur,MULEGÉ,11.55,26.880192,-112.003406,2013,7.87,0.57,24.13
M21,Baja California Sur,MULEGÉ,10.98,26.878983,-112.003181,2013,7.4,0.57,24.13
M19,Baja California Sur,MULEGÉ,12.33,26.877719,-112.008428,2013,6.04,0.57,24.13
M18,Baja California Sur,MULEGÉ,13.38,26.878094,-112.014014,2013,9.86,0.57,24.13
M17,Baja California Sur,MULEGÉ,12.1,26.874858,-112.010222,2013,8.3,0.57,24.13
M16,Baja California Sur,MULEGÉ,14.77,26.8752,-112.020078,2013,10.28,0.57,24.13
M15,Baja California Sur,MULEGÉ,14.27,26.869947,-112.017556,2013,10.43,0.57,24.13
M14,Baja California Sur,MULEGÉ,14.48,26.871014,-112.018847,2013,10.11,0.57,24.13
M13,Baja California Sur,MULEGÉ,16.24,26.869197,-112.024425,2013,11.93,0.57,24.13
M12,Baja California Sur,MULEGÉ,17.77,26.870861,-112.029922,2013,13.75,0.57,24.13
M11,Baja California Sur,MULEGÉ,20.69,26.867908,-112.035803,2013,15.84,0.57,24.13
M10,Baja California Sur,MULEGÉ,19.59,26.862883,-112.032206,2013,14.94,0.57,24.13
M09,Baja California Sur,MULEGÉ,23.25,26.862294,-112.040097,2013,18.32,0.57,24.13
