Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
La Laguna 1,Baja California Sur,SANTIAGO,114.6,23.4755,-109.714167,2010,4.31,0.36,23.65
La Cienega,Baja California Sur,SANTIAGO,77.74,23.536833,-109.679167,2010,8.3,0.27,24.9
El Cantil,Baja California Sur,SANTIAGO,95.3,23.4975,-109.706833,2010,6.47,0.36,23.65
36_TMI,Baja California Sur,SANTIAGO,11.29,23.586,-109.568333,2010,8.57,0.27,24.9
109 ROASA,Baja California Sur,SANTIAGO,30.81,23.581333,-109.6155,2010,9.42,0.27,24.9
El Cantil,Baja California Sur,SANTIAGO,95.3,23.4975,-109.706833,2011,9.5,0.26,24.34
36_TMI,Baja California Sur,SANTIAGO,11.29,23.586,-109.568333,2011,9.5,0.32,25.15
109 ROASA,Baja California Sur,SANTIAGO,30.81,23.581333,-109.6155,2011,12.6,0.32,25.15
La Laguna 1,Baja California Sur,SANTIAGO,114.6,23.4755,-109.714167,2012,7.91,1.0,24.24
La Cienega,Baja California Sur,SANTIAGO,77.74,23.536833,-109.679167,2012,14.2,0.91,25.22
El Cantil,Baja California Sur,SANTIAGO,95.3,23.4975,-109.706833,2012,10.86,1.0,24.24
36_TMI,Baja California Sur,SANTIAGO,11.29,23.586,-109.568333,2012,9.19,0.91,25.22
32_TMI,Baja California Sur,SANTIAGO,16.32,23.595833,-109.605,2012,3.51,0.91,25.22
109 ROASA,Baja California Sur,SANTIAGO,30.81,23.581333,-109.6155,2012,12.83,0.91,25.22
La Laguna 1,Baja California Sur,SANTIAGO,114.6,23.4755,-109.714167,2013,4.89,0.65,24.19
La Cienega,Baja California Sur,SANTIAGO,77.74,23.536833,-109.679167,2013,6.48,0.92,25.21
El Cantil,Baja California Sur,SANTIAGO,95.3,23.4975,-109.706833,2013,19.1,0.65,24.19
47 TMI_PBPI,Baja California Sur,SANTIAGO,61.6,23.541333,-109.664167,2013,18.68,0.92,25.21
36_TMI,Baja California Sur,SANTIAGO,11.29,23.586,-109.568333,2013,9.53,0.92,25.21
32_TMI,Baja California Sur,SANTIAGO,16.32,23.595833,-109.605,2013,11.79,0.92,25.21
109 ROASA,Baja California Sur,SANTIAGO,30.81,23.581333,-109.6155,2013,17.37,0.92,25.21
La Laguna 1,Baja California Sur,SANTIAGO,114.6,23.4755,-109.714167,2016,4.6,0.75,25.1
La Cienega,Baja California Sur,SANTIAGO,77.74,23.536833,-109.679167,2016,8.33,1.18,26.11
El Cantil,Baja California Sur,SANTIAGO,95.3,23.4975,-109.706833,2016,7.52,0.75,25.1
47 TMI_PBPI,Baja California Sur,SANTIAGO,61.6,23.541333,-109.664167,2016,18.15,1.18,26.11
36_TMI,Baja California Sur,SANTIAGO,11.29,23.586,-109.568333,2016,9.55,1.18,26.11
109 ROASA,Baja California Sur,SANTIAGO,30.81,23.581333,-109.6155,2016,13.95,1.18,26.11
