Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
F_6,Baja California Sur,SANTO DOMINGO,28.95,25.253833,-111.925,2010,25.0,0.17,22.23
80_30,Baja California Sur,SANTO DOMINGO,74.38,25.045333,-111.559667,2010,41.1,0.18,23.7
76_9B,Baja California Sur,SANTO DOMINGO,61.79,25.328833,-111.6305,2010,43.0,0.17,22.23
73_49_1,Baja California Sur,SANTO DOMINGO,14.16,24.7725,-111.67,2010,23.38,0.19,22.02
7,Baja California Sur,SANTO DOMINGO,20.87,25.408833,-111.888333,2010,28.1,0.17,22.23
59.1,Baja California Sur,SANTO DOMINGO,48.32,24.9145,-111.608333,2010,57.0,0.19,22.02
57_611_2,Baja California Sur,SANTO DOMINGO,33.86,24.920333,-111.683,2010,47.38,0.19,22.02
55_7,Baja California Sur,SANTO DOMINGO,31.26,24.949167,-111.730333,2010,43.12,0.19,22.02
46_24,Baja California Sur,SANTO DOMINGO,36.65,25.0225,-111.785333,2010,54.23,0.19,22.02
44_75_76,Baja California Sur,SANTO DOMINGO,57.63,25.005833,-111.618333,2010,71.15,0.19,22.02
42_34,Baja California Sur,SANTO DOMINGO,54.33,25.077,-111.7,2010,61.8,0.19,22.02
42975,Baja California Sur,SANTO DOMINGO,63.48,25.197167,-111.655833,2010,70.2,0.19,22.02
41_01,Baja California Sur,SANTO DOMINGO,36.78,25.072833,-111.775833,2010,52.0,0.19,22.02
4,Baja California Sur,SANTO DOMINGO,12.64,25.4545,-111.9175,2010,19.58,0.17,22.23
39_2,Baja California Sur,SANTO DOMINGO,67.61,25.0625,-111.583833,2010,32.94,0.19,22.02
38_2,Baja California Sur,SANTO DOMINGO,53.27,25.075,-111.638333,2010,35.0,0.19,22.02
37_32,Baja California Sur,SANTO DOMINGO,69.22,25.1375,-111.579167,2010,38.6,0.19,22.02
36_25,Baja California Sur,SANTO DOMINGO,53.64,25.123333,-111.670833,2010,47.46,0.19,22.02
35_21,Baja California Sur,SANTO DOMINGO,30.79,25.1055,-111.852,2010,39.9,0.19,22.02
34_14,Baja California Sur,SANTO DOMINGO,30.57,25.167,-111.861167,2010,51.3,0.19,22.02
33,Baja California Sur,SANTO DOMINGO,45.63,25.149667,-111.7455,2010,73.48,0.19,22.02
32_02,Baja California Sur,SANTO DOMINGO,16.31,25.128,-111.951167,2010,21.21,0.19,22.02
25,Baja California Sur,SANTO DOMINGO,34.55,25.222,-111.8355,2010,58.1,0.19,22.02
20_16_17,Baja California Sur,SANTO DOMINGO,29.9,25.239667,-111.803667,2010,64.4,0.19,22.02
19_25,Baja California Sur,SANTO DOMINGO,48.99,25.201333,-111.712,2010,71.4,0.19,22.02
19_20,Baja California Sur,SANTO DOMINGO,40.98,25.1995,-111.761333,2010,67.55,0.19,22.02
16,Baja California Sur,SANTO DOMINGO,24.8,25.304667,-111.828333,2010,51.2,0.17,22.23
15,Baja California Sur,SANTO DOMINGO,52.1,25.347,-111.6795,2010,46.4,0.17,22.23
