Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
SB20,Baja California Sur,SAN BRUNO,11.57,27.153136,-112.164886,2013,11.16,0.57,24.13
SB18,Baja California Sur,SAN BRUNO,5.52,27.160481,-112.165217,2013,5.15,0.57,24.13
SB17,Baja California Sur,SAN BRUNO,5.18,27.162019,-112.167039,2013,4.59,0.57,24.13
SB15,Baja California Sur,SAN BRUNO,9.0,27.164378,-112.167806,2013,5.32,0.57,24.13
SB09,Baja California Sur,SAN BRUNO,9.11,27.153389,-112.143008,2013,6.04,0.57,24.13
SB08,Baja California Sur,SAN BRUNO,6.0,27.1579,-112.146847,2013,5.4,0.57,24.13
SB06,Baja California Sur,SAN BRUNO,15.49,27.152903,-112.154133,2013,10.14,0.57,24.13
SB04,Baja California Sur,SAN BRUNO,9.0,27.159536,-112.157281,2013,3.73,0.57,24.13
SB02,Baja California Sur,SAN BRUNO,8.72,27.155819,-112.161417,2013,8.15,0.57,24.13
MANUEL VELÁZQUEZ,Baja California Sur,SAN BRUNO,11.25,27.152,-112.163,2013,10.5,0.57,24.13
