Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
48_AH_180_ROASA,Baja California Sur,SAN JOSÉ DEL CABO,40.76,23.146333,-109.691167,2010,6.9,0.31,23.69
2,Baja California Sur,SAN JOSÉ DEL CABO,30.7,23.1145,-109.703167,2010,4.09,0.31,23.69
13-R,Baja California Sur,SAN JOSÉ DEL CABO,60.65,23.169,-109.682833,2010,10.9,0.24,24.75
10,Baja California Sur,SAN JOSÉ DEL CABO,85.73,23.178667,-109.7405,2010,23.65,0.31,23.69
48_AH_180_ROASA,Baja California Sur,SAN JOSÉ DEL CABO,40.76,23.146333,-109.691167,2011,8.98,0.21,24.28
2,Baja California Sur,SAN JOSÉ DEL CABO,30.7,23.1145,-109.703167,2011,5.31,0.21,24.28
186_XIII,Baja California Sur,SAN JOSÉ DEL CABO,23.72,23.086333,-109.699,2011,3.92,0.21,24.28
157_TMI,Baja California Sur,SAN JOSÉ DEL CABO,83.3,23.214667,-109.686333,2011,16.42,0.33,25.09
13-R,Baja California Sur,SAN JOSÉ DEL CABO,60.65,23.169,-109.682833,2011,13.17,0.33,25.09
10,Baja California Sur,SAN JOSÉ DEL CABO,85.73,23.178667,-109.7405,2011,25.24,0.21,24.28
48_AH_180_ROASA,Baja California Sur,SAN JOSÉ DEL CABO,40.76,23.146333,-109.691167,2012,11.22,1.03,24.31
157_TMI,Baja California Sur,SAN JOSÉ DEL CABO,83.3,23.214667,-109.686333,2012,16.65,0.88,25.11
10,Baja California Sur,SAN JOSÉ DEL CABO,85.73,23.178667,-109.7405,2012,26.54,1.03,24.31
48_AH_180_ROASA,Baja California Sur,SAN JOSÉ DEL CABO,40.76,23.146333,-109.691167,2013,8.5,0.67,24.27
2,Baja California Sur,SAN JOSÉ DEL CABO,30.7,23.1145,-109.703167,2013,4.94,0.67,24.27
186_XIII,Baja California Sur,SAN JOSÉ DEL CABO,23.72,23.086333,-109.699,2013,2.3,0.67,24.27
157_TMI,Baja California Sur,SAN JOSÉ DEL CABO,83.3,23.214667,-109.686333,2013,15.0,0.91,25.07
13-R,Baja California Sur,SAN JOSÉ DEL CABO,60.65,23.169,-109.682833,2013,12.82,0.91,25.07
10,Baja California Sur,SAN JOSÉ DEL CABO,85.73,23.178667,-109.7405,2013,21.5,0.67,24.27
48_AH_180_ROASA,Baja California Sur,SAN JOSÉ DEL CABO,40.76,23.146333,-109.691167,2014,13.78,1.24,25.4
157_TMI,Baja California Sur,SAN JOSÉ DEL CABO,83.3,23.214667,-109.686333,2014,28.38,1.2,26.15
13-R,Baja California Sur,SAN JOSÉ DEL CABO,60.65,23.169,-109.682833,2014,18.49,1.2,26.15
10,Baja California Sur,SAN JOSÉ DEL CABO,85.73,23.178667,-109.7405,2014,28.73,1.24,25.4
48_AH_180_ROASA,Baja California Sur,SAN JOSÉ DEL CABO,40.76,23.146333,-109.691167,2016,7.19,1.0,25.15
2,Baja California Sur,SAN JOSÉ DEL CABO,30.7,23.1145,-109.703167,2016,5.01,1.0,25.15
157_TMI,Baja California Sur,SAN JOSÉ DEL CABO,83.3,23.214667,-109.686333,2016,22.58,1.4,25.93
13-R,Baja California Sur,SAN JOSÉ DEL CABO,60.65,23.169,-109.682833,2016,10.59,1.4,25.93
10,Baja California Sur,SAN JOSÉ DEL CABO,85.73,23.178667,-109.7405,2016,19.13,1.0,25.15
