Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
OBS-VIZ-55,Baja California Sur,VIZCAÍNO,76.82,27.646306,-113.423722,2010,41.0,0.15,21.41
OBS-VIZ-53,Baja California Sur,VIZCAÍNO,77.01,27.673,-113.470222,2010,41.4,0.14,20.25
OBS-VIZ-51,Baja California Sur,VIZCAÍNO,74.69,27.470306,-113.298167,2010,44.86,0.15,21.41
OBS-VIZ-49,Baja California Sur,VIZCAÍNO,62.57,27.541056,-113.377861,2010,32.28,0.15,21.41
OBS-VIZ-48,Baja California Sur,VIZCAÍNO,58.05,27.530067,-113.393139,2010,27.49,0.15,21.41
OBS-VIZ-47,Baja California Sur,VIZCAÍNO,115.62,27.798608,-113.3729,2010,51.96,0.17,21.31
OBS-VIZ-45,Baja California Sur,VIZCAÍNO,117.98,27.779247,-113.328153,2010,41.3,0.17,21.31
OBS-VIZ-43,Baja California Sur,VIZCAÍNO,146.67,27.831994,-113.266525,2010,37.98,0.17,21.31
OBS-VIZ-37,Baja California Sur,VIZCAÍNO,44.01,27.879925,-113.802867,2010,29.35,0.17,19.42
OBS-VIZ-36,Baja California Sur,VIZCAÍNO,51.0,27.822375,-113.701111,2010,37.22,0.17,19.42
OBS-VIZ-31,Baja California Sur,VIZCAÍNO,31.98,27.615636,-113.6673,2010,9.74,0.14,20.25
OBS-VIZ-30,Baja California Sur,VIZCAÍNO,145.68,27.840139,-113.299111,2010,39.7,0.17,21.31
OBS-VIZ-26,Baja California Sur,VIZCAÍNO,76.16,27.471083,-113.28975,2010,43.56,0.15,21.41
OBS-VIZ-25,Baja California Sur,VIZCAÍNO,63.15,27.510778,-113.382389,2010,29.09,0.15,21.41
OBS-VIZ-24,Baja California Sur,VIZCAÍNO,62.48,27.535861,-113.382639,2010,32.26,0.15,21.41
OBS-VIZ-23,Baja California Sur,VIZCAÍNO,58.67,27.530194,-113.374694,2010,32.33,0.15,21.41
OBS-VIZ-22,Baja California Sur,VIZCAÍNO,58.26,27.527611,-113.394111,2010,28.27,0.15,21.41
OBS-VIZ-01,Baja California Sur,VIZCAÍNO,53.87,27.571431,-113.522964,2010,21.67,0.14,20.25
OBS.-VIZ-11,Baja California Sur,VIZCAÍNO,54.62,27.911656,-113.793519,2011,38.52,0.07,19.69
