Pozo,Longitud,Latitud,K_horiz_m_d,K_vert_m_d,S_especifico,"rend_especif
Espec.","espesor_capa_m
capa (m)",T_m2_s,Lon_UTM27,Lat_UTM27
A35,-110.3772183,24.07444904,45,20,0.003,0.1,27.07,0.0141,563308.14,2662609.48
A43,-110.3716627,24.07528236,64,5,0.004,0.1,16.25,0.012,563872.49,2662704.26
A74,-110.3277735,24.06500502,42,5,0.004,0.1,91.29,0.0444,568339.54,2661587.01
POZO I,-110.4177116,24.05645912,0.25,0.01,0.001,0.1,146.54,0.0004,559200,2660600
POZO II,-110.3094105,24.07678186,0.36,0.1,0.0009,0.1,182.93,0.0008,570200,2662900
POZO III,-110.3638831,24.0020536,1.4,0.5,0.0009,0.1,130,0.0019,564700,2654600
40-R,-110.2972177,23.79307301,6,2,0.002,0.1,57.64,0.004,571595.79,2631494.3
205,-110.3588824,24.05250434,19.5,5,0.0024,0.1,40.4,0.0091,565183.19,2660188.16
219,-110.3860952,24.07249277,90,20,0.005,0.1,13.58,0.0141,562406.69,2662388.91
121,-110.3106675,24.12141179,5.8,3,0.005,0.1,17.38,0.0012,570047.95,2667840.83
146,-110.356143,24.0829654,35,15,0.004,0.1,22.19,0.009,565446.26,2663562.07
148,-110.3367389,24.06758,56,5,0.005,0.1,45.94,0.0298,567426.74,2661867.78
152-B,-110.3435322,24.05557224,30.8,10,0.004,0.1,17.2,0.0061,566742.32,2660535.04
178,-110.3342105,24.1028886,19,6,0.004,0.1,81.37,0.0179,567665.24,2665778.37
207,-110.364345,24.04902474,29,10,0.001,0.1,30.45,0.0102,564629.53,2659800.38
213,-110.374427,24.06143288,85,34,0.005,0.1,29.85,0.0294,563598.31,2661169.6
241-B,-110.3733814,24.07372302,35,10,0.005,0.1,32.67,0.0132,563698.54,2662530.83
