ID,Latitude,Longitude,Date,ET_mm_8d
122-R,24.085389,-110.366992,01/01/2021,3
122-R,24.085389,-110.366992,09/01/2021,2
122-R,24.085389,-110.366992,17/01/2021,6.4
122-R,24.085389,-110.366992,25/01/2021,4.7
122-R,24.085389,-110.366992,02/02/2021,3.3
122-R,24.085389,-110.366992,10/02/2021,2.6
122-R,24.085389,-110.366992,18/02/2021,2.9
122-R,24.085389,-110.366992,26/02/2021,2.3
122-R,24.085389,-110.366992,06/03/2021,3.1
122-R,24.085389,-110.366992,14/03/2021,2.3
122-R,24.085389,-110.366992,22/03/2021,2.2
122-R,24.085389,-110.366992,30/03/2021,1.8
122-R,24.085389,-110.366992,07/04/2021,2.7
122-R,24.085389,-110.366992,15/04/2021,2.6
122-R,24.085389,-110.366992,23/04/2021,2.3
122-R,24.085389,-110.366992,01/05/2021,2.5
122-R,24.085389,-110.366992,09/05/2021,2
122-R,24.085389,-110.366992,17/05/2021,2.6
122-R,24.085389,-110.366992,25/05/2021,3.1
122-R,24.085389,-110.366992,02/06/2021,1.5
122-R,24.085389,-110.366992,10/06/2021,1.9
122-R,24.085389,-110.366992,18/06/2021,3.6
122-R,24.085389,-110.366992,26/06/2021,4
122-R,24.085389,-110.366992,04/07/2021,1.9
122-R,24.085389,-110.366992,12/07/2021,4
122-R,24.085389,-110.366992,20/07/2021,4
122-R,24.085389,-110.366992,28/07/2021,1.9
122-R,24.085389,-110.366992,05/08/2021,5.2
122-R,24.085389,-110.366992,13/08/2021,4.2
122-R,24.085389,-110.366992,21/08/2021,3.9
122-R,24.085389,-110.366992,29/08/2021,3.7
122-R,24.085389,-110.366992,06/09/2021,5.8
122-R,24.085389,-110.366992,14/09/2021,7.4
122-R,24.085389,-110.366992,22/09/2021,7.7
122-R,24.085389,-110.366992,30/09/2021,7.6
122-R,24.085389,-110.366992,08/10/2021,5.7
122-R,24.085389,-110.366992,16/10/2021,5.5
122-R,24.085389,-110.366992,24/10/2021,3.7
122-R,24.085389,-110.366992,01/11/2021,4.2
122-R,24.085389,-110.366992,09/11/2021,2.8
122-R,24.085389,-110.366992,17/11/2021,4
