Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_piezometrico,precip_mm,temp_C
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,1996,,188.64,23.93
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,1997,,270.67,24.02
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,1998,,337.99,23.9
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,1999,,55.93,23.57
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2000,14.96,82.23,23.72
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2001,,316.65,23.32
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2002,14.91,130.81,23.39
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2003,14.94,377.61,23.54
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2004,14.4,218.6,23.27
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2005,14.5,175.53,23.24
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2006,15.0,197.03,24.06
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2007,15.8,180.56,23.37
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2008,15.24,184.97,23.83
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2009,15.08,254.98,23.9
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2010,15.87,111.93,23.15
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2011,15.78,90.29,23.87
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2012,15.68,348.92,23.82
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2013,15.08,189.53,23.79
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2014,,426.42,24.94
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2015,,270.81,25.04
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2016,16.07,267.72,24.68
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2017,,205.95,24.52
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2018,,308.82,24.61
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2019,,445.63,23.94
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2020,,107.63,24.36
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2021,,342.8,24.35
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2022,,243.31,24.01
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2023,,396.31,24.49
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2024,,60.41,24.3
122-R,Baja California Sur,LA PAZ,15.0,24.085389,-110.366992,2025,,,
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,1996,40.89,188.64,23.93
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,1997,,270.67,24.02
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,1998,,337.99,23.9
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,1999,40.34,55.93,23.57
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2000,41.09,82.23,23.72
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2001,,316.65,23.32
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2002,,130.81,23.39
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2003,,377.61,23.54
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2004,40.04,218.6,23.27
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2005,39.49,175.53,23.24
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2006,39.59,197.03,24.06
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2007,39.92,180.56,23.37
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2008,40.02,184.97,23.83
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2009,40.04,254.98,23.9
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2010,40.55,111.93,23.15
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2011,40.85,90.29,23.87
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2012,41.26,348.92,23.82
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2013,40.04,189.53,23.79
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2014,41.75,426.42,24.94
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2015,,270.81,25.04
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2016,41.75,267.72,24.68
