PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1996,23,-108.75,0.55,0.22,0,0.11,0.07,1.17,13.08,165.57,47.75,5.38,36.46,0.59,270.95
PRECTOTCORR_SUM,1996,23,-109.375,0.58,0.1,0.01,0.24,0.07,0.62,6.86,88.36,59.44,2.8,26.76,0.75,186.59
PRECTOTCORR_SUM,1996,23,-110,0.36,0.05,0.03,0.38,0.08,0.35,4.74,53,68.03,1.44,26.95,0.95,156.36
PRECTOTCORR_SUM,1996,23,-110.625,0.24,0.04,0.04,0.15,0.1,0.18,1.92,44.33,41.19,1.14,48.41,0.66,138.4
PRECTOTCORR_SUM,1996,23.5,-108.75,0.09,0.18,0,0,0,0.14,15.4,206.25,57.76,4.13,40.6,0,324.55
PRECTOTCORR_SUM,1996,23.5,-109.375,0.08,0.05,0,0,0,0.01,6.6,105.11,70.69,2.61,22.09,0.12,207.36
PRECTOTCORR_SUM,1996,23.5,-110,0.02,0.02,0,0,0,0,5.25,72.72,78.6,1.17,11.7,0.44,169.92
PRECTOTCORR_SUM,1996,23.5,-110.625,0,0.06,0,0,0,0,4.32,84.18,67.18,0.24,15.92,0.59,172.49
PRECTOTCORR_SUM,1996,24,-108.75,0.04,0.14,0,0.01,0,0.51,34.85,229.92,68.72,6.4,47.2,0,387.79
PRECTOTCORR_SUM,1996,24,-109.375,0.01,0.1,0,0,0,0.03,6.68,150.73,67.45,1.96,38.86,0.07,265.89
PRECTOTCORR_SUM,1996,24,-110,0,0.05,0,0,0,0.01,6.14,98.02,69.6,0.82,15.05,0.25,189.94
PRECTOTCORR_SUM,1996,24,-110.625,0,0.15,0,0,0,0,5.18,107.53,63.68,0.14,11.56,0.4,188.64
PRECTOTCORR_SUM,1996,24.5,-108.75,0.05,0.1,0,0.05,0,1.93,62.05,253.51,77.33,9.12,53.07,0,457.21
PRECTOTCORR_SUM,1996,24.5,-109.375,0,0.09,0,0,0,0.5,15.25,198.81,67.87,2.4,49.36,0.01,334.29
PRECTOTCORR_SUM,1996,24.5,-110,0,0.1,0,0,0,0.06,5.33,116.39,56.79,0.62,19.96,0.05,199.3
PRECTOTCORR_SUM,1996,24.5,-110.625,0,0.28,0,0,0,0.01,4.23,104.48,46.34,0.18,12.21,0.09,167.82
PRECTOTCORR_SUM,1997,23,-108.75,23.61,19.65,8.47,16.05,5.97,4.81,34.96,77.09,144.21,5.82,34.86,2.88,378.38
PRECTOTCORR_SUM,1997,23,-109.375,31.41,12.83,6.27,11.14,3.31,2.55,22.62,59.06,122.97,2.5,30.28,1.98,306.92
PRECTOTCORR_SUM,1997,23,-110,32.68,4.02,3.04,5.95,4.94,1.08,17.81,68.93,126.36,1.43,35.05,2.9,304.19
PRECTOTCORR_SUM,1997,23,-110.625,24.14,2.07,1.19,4.76,14.56,0.79,9.81,60.48,98.13,0.76,24.83,1.92,243.44
PRECTOTCORR_SUM,1997,23.5,-108.75,30.71,22.72,4.33,15.27,6.1,4.07,36.15,85.95,159,3.81,32.96,3.12,404.19
PRECTOTCORR_SUM,1997,23.5,-109.375,34.25,9.25,1.68,6.18,1.94,1.51,20.62,59.2,130.65,1.36,25.44,2.54,294.62
PRECTOTCORR_SUM,1997,23.5,-110,35.79,1.33,0.2,1.88,1.13,0.95,21.14,73.07,130.73,1.06,27.57,5.51,300.36
PRECTOTCORR_SUM,1997,23.5,-110.625,38.39,0.38,0.02,1.57,3.22,0.76,18.2,82.13,127.46,1.48,23.43,6.82,303.86
