PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1996,23,-108.75,21.31,21.78,21.86,22.86,24.24,24.2,27.09,28,27.47,27.92,25.62,22.89,24.61
T2M,1996,23,-109.375,21.39,21.94,21.82,23.7,25.31,25.73,28.07,28.19,27.19,27.96,25.44,22.61,24.96
T2M,1996,23,-110,21.3,21.42,21.01,22.67,23.85,24.5,27.25,27.77,26.54,27.34,24.94,22.35,24.26
T2M,1996,23,-110.625,20.86,20.35,19.76,19.87,20.55,21.37,24.34,26.57,25.63,26.18,24.61,22.75,22.75
T2M,1996,23.5,-108.75,21.08,21.66,21.83,23.28,24.66,24.76,27.47,28.36,27.58,27.83,25.43,22.5,24.71
T2M,1996,23.5,-109.375,20.7,21.52,21.83,24.26,26.22,27.43,28.77,28.61,27.36,27.65,24.89,21.67,25.09
T2M,1996,23.5,-110,19.81,20.84,20.84,23.47,25.32,27.16,28.59,28.12,26.46,26.56,23.5,20.34,24.26
T2M,1996,23.5,-110.625,20.42,20.24,19.78,20.34,20.97,22.04,24.93,27.08,25.87,26.11,24.35,22.09,22.86
T2M,1996,24,-108.75,20.83,21.39,21.39,23.27,24.82,25.15,27.59,28.56,27.6,27.65,25.14,22.11,24.64
T2M,1996,24,-109.375,20.63,21.12,21.45,23.74,25.64,26.71,28.28,28.76,27.51,27.48,24.79,21.72,24.83
T2M,1996,24,-110,19.63,20.75,21.1,23.85,26.05,28.26,29.43,28.98,27.27,26.69,23.46,20.28,24.66
T2M,1996,24,-110.625,19.61,20.67,20.5,22.89,24.13,25.8,28.37,28.63,26.69,26.17,23.22,20.34,23.93
T2M,1996,24.5,-108.75,20.5,21.02,20.75,23.08,24.96,25.47,27.64,28.73,27.65,27.45,24.63,21.59,24.47
T2M,1996,24.5,-109.375,20.58,20.87,20.85,23.12,24.98,25.71,27.72,28.76,27.55,27.35,24.48,21.67,24.48
T2M,1996,24.5,-110,20.24,20.74,20.91,23.25,25.07,26.53,28.21,28.87,27.55,27.09,24.12,21.22,24.49
T2M,1996,24.5,-110.625,19.63,20.91,20.92,23.78,25.79,28.06,29.66,29.09,27.23,26.42,23.33,20.27,24.6
T2M,1997,23,-108.75,20.84,20.4,21.61,21.21,24.01,25.98,28.88,29.6,29.46,28.66,25.88,23.17,25.01
T2M,1997,23,-109.375,20.5,20.22,22.2,21.44,25.28,26.97,29.53,29.54,29.11,28.4,25.48,22.35,25.12
T2M,1997,23,-110,20.04,19.79,22.11,20.61,23.99,25.15,29.12,28.86,28.52,27.82,25.11,21.6,24.43
T2M,1997,23,-110.625,20.35,19.71,20.75,19.16,20.46,21.91,27.23,28.44,28.39,27.41,25.42,22.37,23.49
T2M,1997,23.5,-108.75,20.46,19.97,21.3,21.31,24.47,26.61,29.12,29.75,29.5,28.62,25.76,22.91,25.01
T2M,1997,23.5,-109.375,19.73,19.56,22.03,21.85,26.43,28.06,30.13,29.65,29.01,28,24.89,21.54,25.11
T2M,1997,23.5,-110,18.41,18.46,22,20.91,25.77,26.81,29.94,28.57,27.89,26.78,23.53,19.43,24.08
T2M,1997,23.5,-110.625,19.6,19.06,20.92,19.06,20.75,22.38,27.83,28.58,28.5,27.3,24.89,21.31,23.38
T2M,1997,24,-108.75,19.99,19.41,20.99,21.25,24.67,26.72,29.16,29.72,29.52,28.5,25.62,22.64,24.88
T2M,1997,24,-109.375,19.66,19.25,21.39,21.64,25.66,27.41,29.88,29.84,29.41,28.16,25.14,21.85,24.98
T2M,1997,24,-110,18.54,18.41,21.79,21.56,26.57,27.74,30.83,29.54,28.92,27.37,23.97,19.84,24.63
T2M,1997,24,-110.625,18.35,18.38,21.52,20.55,24.23,25.51,30.31,29.34,28.91,27.26,23.93,19.53,24.02
T2M,1997,24.5,-108.75,19.45,18.8,20.76,21.19,24.76,26.75,29.17,29.75,29.57,28.33,25.43,22.27,24.72
T2M,1997,24.5,-109.375,19.48,18.85,20.82,21.25,24.76,26.64,29.38,29.86,29.65,28.27,25.3,22,24.73
T2M,1997,24.5,-110,19.25,18.7,21.04,21.28,25.13,26.7,29.95,29.98,29.65,28.06,24.96,21.22,24.7
T2M,1997,24.5,-110.625,18.46,18.26,21.55,21.42,26.08,27.29,31.07,29.87,29.28,27.52,24.06,19.66,24.58
T2M,1998,23,-108.75,22.86,21.87,21.87,21.98,24.79,26.95,27.98,29.07,28.56,28.61,25.87,22.49,25.26
T2M,1998,23,-109.375,22.53,21.44,21.83,22.32,25.62,27.89,28.27,28.93,27.89,27.96,25.16,22.08,25.18
T2M,1998,23,-110,21.96,20.78,21.24,21.68,24.21,27.23,27.68,28.53,26.81,27.14,24.24,21.36,24.43
T2M,1998,23,-110.625,22.21,20.92,20.76,20.35,21.3,23.71,25.92,28.12,26.77,25.94,23.66,21.11,23.42
T2M,1998,23.5,-108.75,22.59,21.55,21.68,22,24.81,27.39,28.39,29.21,28.82,28.67,25.62,21.98,25.25
T2M,1998,23.5,-109.375,21.67,20.63,21.39,22.11,25.73,28.9,28.83,28.92,27.93,27.74,24.47,20.95,24.96
T2M,1998,23.5,-110,20.01,19.04,20.34,21.37,24.91,29.04,28.54,28.26,26,26.33,22.73,19.17,23.84
T2M,1998,23.5,-110.625,21.43,20.24,20.38,20.55,21.71,24.5,26.57,28.23,26.46,26.09,23.27,20.47,23.35
T2M,1998,24,-108.75,22.24,21.15,21.41,21.91,24.67,27.53,28.64,29.27,28.79,28.65,25.25,21.44,25.1
T2M,1998,24,-109.375,21.61,20.66,21.12,21.85,24.93,28.22,28.78,29.14,28.41,28.11,24.62,20.97,24.89
T2M,1998,24,-110,20.07,19.18,20.41,21.46,25.03,29.5,29.41,29.07,27.14,27.04,23.08,19.3,24.25
T2M,1998,24,-110.625,19.88,18.98,20.06,21.34,23.98,28.35,29.26,29.31,26.8,26.8,22.64,19.03,23.9
T2M,1998,24.5,-108.75,21.92,20.74,21.14,21.76,24.57,27.51,28.91,29.39,28.83,28.59,24.81,20.83,24.94
T2M,1998,24.5,-109.375,21.63,20.64,20.92,21.67,24.54,27.51,28.7,29.3,28.74,28.38,24.68,20.94,24.83
T2M,1998,24.5,-110,21.12,20.15,20.66,21.49,24.56,27.98,28.83,29.4,28.43,27.95,24.13,20.43,24.62
T2M,1998,24.5,-110.625,20.02,19.06,20.22,21.58,24.94,29.34,29.85,29.73,27.89,27.42,23.06,19.24,24.39
T2M,1999,23,-108.75,21.11,20.62,20.87,21.73,23.91,25.9,27.21,28.16,27.72,27.97,25.91,22.56,24.49
T2M,1999,23,-109.375,21.05,21.09,21.04,22.28,24.41,26.57,27.9,28.67,27.73,28.35,26.12,22.09,24.8
T2M,1999,23,-110,20.7,20.96,19.81,21.01,22.73,24.92,26.69,27.98,26.9,27.92,25.92,21.82,23.96
T2M,1999,23,-110.625,20.54,19.8,18.33,18.28,19.33,21.25,23.71,25.46,25.13,26.02,24.6,22.44,22.09
T2M,1999,23.5,-108.75,20.73,20.35,20.62,21.57,24.35,26.48,27.64,28.64,28.32,28.12,25.58,22.05,24.56
T2M,1999,23.5,-109.375,20.04,20.32,20.74,22.14,25.3,27.56,28.56,29.26,28.35,28.47,25.42,21.03,24.79
T2M,1999,23.5,-110,18.8,19.97,19.55,21.35,24.03,26.68,27.73,28.87,27.42,28.03,24.64,19.62,23.91
T2M,1999,23.5,-110.625,19.89,19.74,18.11,18.72,19.76,22.05,24.2,26.11,25.63,26.41,24.57,21.61,22.25
T2M,1999,24,-108.75,20.29,19.68,20.05,21.24,24.34,26.72,27.89,28.84,28.65,28.17,25.15,21.56,24.41
T2M,1999,24,-109.375,19.86,19.61,20.11,21.3,24.63,27.13,28.29,29.15,28.63,28.3,25.11,21.07,24.46
T2M,1999,24,-110,18.55,19.34,19.67,21.38,24.51,27.55,28.76,29.67,28.66,28.12,24.39,19.63,24.21
T2M,1999,24,-110.625,18.59,19.76,18.85,20.75,22.64,25.97,27.4,28.87,27.86,27.88,24.3,19.72,23.57
T2M,1999,24.5,-108.75,19.79,18.96,19.6,20.86,24.15,26.9,28.11,28.87,28.88,28.12,24.77,21.1,24.21
T2M,1999,24.5,-109.375,19.78,19.12,19.69,20.81,23.99,26.75,28.06,28.94,28.74,28.07,24.93,21.15,24.2
T2M,1999,24.5,-110,19.4,19.24,19.68,20.81,23.82,26.83,28.12,29.13,28.76,28.01,24.72,20.79,24.14
T2M,1999,24.5,-110.625,18.59,19.57,19.48,21.34,24.1,27.62,28.85,29.83,28.76,28.15,24.33,19.7,24.22
T2M,2000,23,-108.75,20.85,20.99,20.9,22.28,22.79,24.98,27.31,29.07,28.32,27.95,24.24,22.8,24.39
T2M,2000,23,-109.375,21.36,21.72,21.2,23.22,24.09,25.89,27.96,29.1,28.52,27.75,23.67,22.77,24.78
T2M,2000,23,-110,21.67,21.81,20.35,22.11,22.11,25.04,26.9,28.56,27.96,26.6,23.04,22.77,24.08
T2M,2000,23,-110.625,21.29,20.62,18.68,19.05,18.79,22.13,24.33,27.72,26.86,25.67,23.1,22.82,22.6
T2M,2000,23.5,-108.75,20.27,20.61,20.89,22.47,23.59,25.68,27.84,29.22,28.62,27.89,23.98,22.31,24.46
T2M,2000,23.5,-109.375,20.23,20.93,21.04,23.67,25.36,27.1,28.97,29.11,28.86,27.44,22.89,21.62,24.78
T2M,2000,23.5,-110,20.07,20.92,20.2,23.19,23.83,26.93,28.19,28.39,28.2,25.79,21.24,20.63,23.97
T2M,2000,23.5,-110.625,20.99,20.46,18.83,19.7,19.21,22.98,24.93,28.06,27.27,25.4,22.51,22.17,22.72
T2M,2000,24,-108.75,19.7,20.22,20.65,22.31,23.94,26.31,28.05,29.27,28.76,27.73,23.66,21.95,24.39
T2M,2000,24,-109.375,19.53,20.18,20.56,22.92,24.72,26.86,28.64,29.28,28.93,27.41,23.06,21.4,24.47
T2M,2000,24,-110,19.2,20.14,20.2,23.42,24.74,27.91,29.31,29.21,29.13,26.33,21.44,20.25,24.28
T2M,2000,24,-110.625,19.88,20.48,19.72,22.36,22.15,26.38,27.85,29.23,28.98,25.68,21.31,20.53,23.72
T2M,2000,24.5,-108.75,19.41,19.72,20.24,22.04,24.08,26.89,28.13,29.33,28.86,27.6,23.28,21.62,24.28
T2M,2000,24.5,-109.375,19.28,19.69,20.21,22.31,23.98,26.56,28.07,29.35,28.92,27.4,23.15,21.45,24.21
T2M,2000,24.5,-110,19.23,19.77,20.18,22.7,23.99,26.74,28.4,29.46,29.13,26.95,22.62,21.1,24.2
T2M,2000,24.5,-110.625,19.42,20.13,20.1,23.5,24.28,27.7,29.23,29.41,29.48,26.11,21.42,20.42,24.28
T2M,2001,23,-108.75,20.69,20.47,19.22,21.37,22.88,24.88,27.79,28.4,28.24,27.17,26.19,22.9,24.2
T2M,2001,23,-109.375,20.27,20.89,19.65,22.25,24.01,26.1,28.39,29.09,28.45,26.77,25.69,22.25,24.5
T2M,2001,23,-110,19.85,20.81,18.97,21.11,22.15,25.13,27.79,28.7,27.96,25.93,24.73,21.47,23.73
T2M,2001,23,-110.625,19.98,20.15,17.86,18.6,19.06,21.52,25.53,26.63,26.74,24.85,24.07,21.79,22.24
T2M,2001,23.5,-108.75,20.34,19.82,18.98,21.26,23.32,25.49,28.15,28.61,28.53,27.4,26.04,22.62,24.24
T2M,2001,23.5,-109.375,19.32,19.84,19.45,22.35,25.02,27.36,28.98,29.33,28.7,26.63,25.09,21.18,24.46
