"Pozo","Estado","Acuífero","Elev.Brocal","Latitud","Longitud","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"122-R","Baja California Sur","LA PAZ","15.00","24.085389","-110.366992","","","","","14.96","","14.91","14.94","14.4","14.5","15","15.8","15.24","15.08","15.87","15.78","15.68","15.08","","","16.07","","","","","","","","",""
"128","Baja California Sur","LA PAZ","36.00","24.089719","-110.312672","40.89","","","40.34","41.09","","","","40.04","39.49","39.59","39.92","40.02","40.04","40.55","40.85","41.26","40.04","41.75","","41.75","","","","","","","","",""
"129-B","Baja California Sur","LA PAZ","26.00","24.098483","-110.316931","30.14","30.02","","29.77","29.93","31.65","30","29.53","29.15","28.4","28.75","29.3","29.4","29.1","29.35","29.82","31.95","29.1","32.7","","30.88","","","","","","40.49","","",""
"134","Baja California Sur","LA PAZ","20.00","24.104028","-110.323978","20.96","21.1","","20.78","21.18","","20.57","20.21","19.63","19.11","19.62","19.79","19.9","19.75","20.35","20.7","23.92","19.75","17.45","","21.69","","","","","","21.14","","",""
"135-R","Baja California Sur","LA PAZ","18.00","24.108056","-110.325556","18.91","17.06","","16.89","17.12","","16.63","16.56","15.55","15.02","15.5","15.71","16.08","16.3","16.52","16.85","17.2","16.3","24.03","","17.84","","","","","","17.37","","",""
"137","Baja California Sur","LA PAZ","28.00","24.09143","-110.31356","28.64","29","","28.64","","","","","","","","","","","34.67","","","","","","","","","","","","46.16","","",""
"138","Baja California Sur","LA PAZ","36.00","24.089228","-110.324194","35.03","35.56","","34.76","35.27","","34.9","35.49","","33.67","34.3","34.24","","34.2","31.88","35.09","40.94","34.2","36.28","","38.94","","","","","","","","",""
"140","Baja California Sur","LA PAZ","28.00","24.088483","-110.331106","28.68","28.8","","28.74","29.02","","28.78","","28.18","28.29","28.9","28.2","28.44","28.25","28.5","28.91","","28.25","","","","","","","","","","","",""
"141","Baja California Sur","LA PAZ","27.00","24.085097","-110.332044","29.65","","","28.28","28.69","","28.73","36.92","28.12","28.05","27.6","28","27.91","32.57","28.32","30.6","29.28","32.57","34.1","","25.97","","","","","","39.53","","",""
"142","Baja California Sur","LA PAZ","29.83","24.084519","-110.325344","36.66","36.87","","36.49","36.95","","36.65","","","","","","","","","","36.71","","","","","","","","","","","","",""
"143","Baja California Sur","LA PAZ","36.27","24.030556","-110.356111","42.88","42.86","","39.63","43.39","","43","","","41.85","","","","43.3","43.2","43.16","43.44","43.3","","","","","","","","","","","",""
"145-R","Baja California Sur","LA PAZ","21.59","24.080753","-110.333206","28.12","28.21","","28.02","28.5","","27.18","","29.5","27.44","","","","","","","","","32.75","","25.49","","","","","","","","",""
"146","Baja California Sur","LA PAZ","16.00","24.081944","-110.343889","","19.8","","20.27","20.61","","20.36","","19.49","19.22","","","","20.9","20.08","20.8","","20.9","","","21.21","","","","","","","","",""
"151","Baja California Sur","LA PAZ","38.00","24.055","-110.333056","44.19","44.44","","44.23","45","","45.3","45.57","44.97","40.88","49.6","45.29","45.32","45.54","44.2","46.42","46.72","45.54","46.97","","47.16","","","","","","57.99","","",""
"152","Baja California Sur","LA PAZ","25.00","24.057222","-110.343333","29.77","","","30.97","31.13","","","","","","30.8","31.3","","","31.42","","32.68","","32.98","","","","","","","","","","",""
"153","Baja California Sur","LA PAZ","21.09","24.058889","-110.3475","27.14","","","","28.18","28","","","28.2","32.15","29.6","","","","29.04","29.43","","","","","30.04","","","","","","","","",""
"164","Baja California Sur","LA PAZ","51.00","24.061136","-110.320028","59.57","60.5","","59.71","60.26","","42.2","60.59","64.72","58.6","60","59.88","59.5","","60.53","62.62","","","","","","","","","","","76.28","","",""
"166","Baja California Sur","LA PAZ","50.00","24.0477","-110.32655","59.98","59.98","","58.85","58.91","58.86","59.2","59.25","64.1","59.04","60.3","59.54","59.76","59.89","60.36","62.84","61.27","59.89","61.12","","61.5","","","","","","","","",""
"167-R","Baja California Sur","LA PAZ","42.00","24.0489","-110.334369","46.14","46.9","","46.25","47.39","","47.32","47.62","47.38","47.4","47.58","47.88","47.58","48","48.45","49.1","49.42","48","45.52","","","","","","","","","","",""
"171-A","Baja California Sur","LA PAZ","13.00","24.088333","-110.350833","","15.26","","","15.67","","15.13","","14.9","20.44","14.84","15.56","15.08","15.23","15.9","15.96","16.38","15.23","16.18","","16.44","","","","","","","","",""
"172","Baja California Sur","LA PAZ","14.00","24.078611","-110.354444","","16.86","","17.36","17.73","","15.98","","16.71","22.62","17.06","16.9","16.93","17.09","17.5","17.7","18.27","17.09","18","","18.36","","","","","","18","","",""
"181-R","Baja California Sur","LA PAZ","17.00","24.073611","-110.348889","20.2","20.73","","20.51","20.88","21.08","","","20.4","20","20.22","20.81","20.57","16.45","21.35","21.41","22.25","16.45","21.81","","22.26","","","","","","23.3","","",""
"182","Baja California Sur","LA PAZ","12.00","24.093611","-110.350556","12.62","12.73","","12.78","12.98","","12.9","12.57","12.23","12.13","12.07","12.8","12.93","13.43","13.83","13.84","13.96","13.43","13.84","","15.79","","","","","","14.02","","",""
"191-R","Baja California Sur","LA PAZ","10.00","24.096389","-110.3525","10.8","10.92","","11.07","11.48","","11.22","11.03","10.56","10.5","10.64","10.98","10.8","10.91","11.61","11.5","11.88","10.91","12.2","","12.39","","","","","","8.3","","",""
"197-A","Baja California Sur","LA PAZ","9.00","24.098611","-110.352778","10.15","10.22","","","10.55","","10.24","10.3","9.86","9.42","9.7","10.56","10.61","10.6","10.56","11.32","11.47","10.6","11.45","","11.74","","","","","","11.52","","",""
"205","Baja California Sur","LA PAZ","25.00","24.053611","-110.359167","","","","29.2","29.45","","30","29.8","29.64","","30","30.64","30.28","30.45","33.4","31.02","31.2","30.45","35.66","","32.05","","","","","","42.16","","",""
"206","Baja California Sur","LA PAZ","33.00","24.034444","-110.356667","","","","","48.46","","38.91","","","39.56","","40.28","40.8","43.8","40.49","41.16","40.83","43.8","","","","","","","","","","","",""
"207-R","Baja California Sur","LA PAZ","29.00","24.043889","-110.368889","32.07","32.2","","32.59","32.88","","33.4","33.33","38.26","33.92","38.55","","","","","","","","37.11","","","","","","","","","","",""
"208","Baja California Sur","LA PAZ","32.00","24.036389","-110.364167","35.58","35.73","","36.18","36.41","","36.96","36.98","37.16","37.6","37.99","38.02","38","38.08","39.15","38.8","38.74","38.08","39.09","","37.39","","","","","","","","",""
"209","Baja California Sur","LA PAZ","38.00","24.027222","-110.368611","41.56","","","","","","","42.63","42.78","43.13","","43.34","44.26","43.85","44.64","44.4","44.61","43.85","56.8","","","","","","","","59.32","","",""
"211","Baja California Sur","LA PAZ","22.00","24.068333","-110.370278","21.14","21.37","","21.6","","","22.32","22.66","22.79","22.38","22.59","","22.79","","22.84","","25.33","","31.77","","24.72","","","","","","","","",""
"216","Baja California Sur","LA PAZ","32.00","24.0575","-110.398611","1","","","","","","","","","34.03","","35.02","34.21","34.25","","35","35.55","34.25","35.25","","","","","","","","19.42","","",""
"217-R","Baja California Sur","LA PAZ","19.00","24.070278","-110.3975","18.81","18.39","","18.95","19.53","","","20.12","25.94","20.41","","21.12","20.54","20.78","21.06","21.88","","20.78","21.7","","22.14","","","","","","","","",""
"221","Baja California Sur","LA PAZ","15.00","24.076028","-110.377472","15.4","15.54","","16.05","16.16","","","12.98","16.08","16.3","16.38","16.51","","16.55","","17.38","","16.55","","","","","","","","","","","",""
"228-A","Baja California Sur","LA PAZ","7.00","24.090833","-110.400278","6.35","6.72","","6.49","6.9","","7.52","7.3","7.37","7.51","7.28","7.59","6.82","7.16","7.49","8.02","7.47","7.16","7.32","","7.8","","","","","","10.02","","",""
"242-R","Baja California Sur","LA PAZ","13.00","24.085278","-110.373889","13.2","13.67","","13.81","13.82","","13.65","13.64","13.11","13.53","13.83","13.8","13.89","13.82","13.82","14.49","13.6","13.82","15.04","","15.44","","","","","","","","",""
"243","Baja California Sur","LA PAZ","13.00","24.087222","-110.370556","13.12","12.5","","13.85","14.04","14.36","13.74","14","12.13","14.48","23.15","14.25","14.11","13.73","13.82","14.2","13.62","13.73","14.36","","14.84","","","","","","","","",""
