Pozo,Lon_UTM27,Lat_UTM27,K_horiz_m_d,K_vert_m_d,S_especifico,"rend_especif
Espec.","espesor_capa_m
capa (m)",T_m2_s
A35,563308.14,2662609.48,45,20,0.003,0.1,27.07,0.0141
A43,563872.49,2662704.26,64,5,0.004,0.1,16.25,0.012
A74,568339.54,2661587.01,42,5,0.004,0.1,91.29,0.0444
POZO I,559200,2660600,0.25,0.01,0.001,0.1,146.54,0.0004
POZO II,570200,2662900,0.36,0.1,0.0009,0.1,182.93,0.0008
POZO III,564700,2654600,1.4,0.5,0.0009,0.1,130,0.0019
40-R,571595.79,2631494.3,6,2,0.002,0.1,57.64,0.004
205,565183.19,2660188.16,19.5,5,0.0024,0.1,40.4,0.0091
219,562406.69,2662388.91,90,20,0.005,0.1,13.58,0.0141
121,570047.95,2667840.83,5.8,3,0.005,0.1,17.38,0.0012
146,565446.26,2663562.07,35,15,0.004,0.1,22.19,0.009
148,567426.74,2661867.78,56,5,0.005,0.1,45.94,0.0298
152-B,566742.32,2660535.04,30.8,10,0.004,0.1,17.2,0.0061
178,567665.24,2665778.37,19,6,0.004,0.1,81.37,0.0179
207,564629.53,2659800.38,29,10,0.001,0.1,30.45,0.0102
213,563598.31,2661169.6,85,34,0.005,0.1,29.85,0.0294
241-B,563698.54,2662530.83,35,10,0.005,0.1,32.67,0.0132
